Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
3/19/2021 3:00 PM,27 C,21 C,70 %,ENE,17 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Mostly Cloudy
3/19/2021 3:30 PM,27 C,20 C,65 %,ENE,17 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Fair
3/19/2021 4:00 PM,26 C,21 C,74 %,ENE,17 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Partly Cloudy
3/19/2021 4:30 PM,27 C,21 C,70 %,E,17 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Partly Cloudy
3/19/2021 5:00 PM,26 C,21 C,74 %,E,13 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Partly Cloudy
3/19/2021 5:30 PM,25 C,20 C,74 %,E,13 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Partly Cloudy
3/19/2021 6:00 PM,25 C,21 C,78 %,E,13 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Partly Cloudy
3/19/2021 6:30 PM,25 C,21 C,78 %,E,11 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Fair
3/19/2021 7:00 PM,25 C,22 C,83 %,E,9 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Fair
3/19/2021 7:30 PM,25 C,22 C,83 %,E,9 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Fair
3/19/2021 8:00 PM,24 C,22 C,89 %,E,7 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Fair
3/19/2021 8:30 PM,24 C,22 C,89 %,ENE,6 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Light Rain Shower
3/19/2021 9:00 PM,24 C,22 C,89 %,ENE,7 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Light Rain Shower
3/19/2021 9:30 PM,24 C,22 C,89 %,E,7 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Showers in the Vicinity
3/19/2021 10:00 PM,24 C,22 C,89 %,NE,9 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Showers in the Vicinity
3/19/2021 10:30 PM,23 C,22 C,94 %,NE,7 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Partly Cloudy
3/19/2021 11:00 PM,24 C,22 C,89 %,ENE,7 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Partly Cloudy
3/19/2021 11:30 PM,23 C,22 C,94 %,ENE,6 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Fair
3/20/2021 12:00 AM,23 C,22 C,94 %,E,9 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Showers in the Vicinity
3/20/2021 12:30 AM,23 C,21 C,88 %,E,7 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Showers in the Vicinity
3/20/2021 1:00 AM,23 C,22 C,94 %,E,9 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Fair
3/20/2021 1:30 AM,23 C,22 C,94 %,E,7 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Fair
3/20/2021 2:00 AM,23 C,22 C,94 %,E,7 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Partly Cloudy
3/20/2021 2:30 AM,23 C,22 C,94 %,E,7 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Light Rain Shower
3/20/2021 3:00 AM,22 C,22 C,100 %,CALM,0 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Light Rain Shower
3/20/2021 3:30 AM,22 C,21 C,94 %,SW,9 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Partly Cloudy
3/20/2021 4:00 AM,22 C,22 C,100 %,SSW,9 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Showers in the Vicinity
3/20/2021 4:30 AM,22 C,22 C,100 %,S,9 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Light Rain Shower
3/20/2021 4:42 AM,22 C,22 C,100 %,SSW,9 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 5:00 AM,22 C,22 C,100 %,SW,9 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Light Rain Shower
3/20/2021 5:30 AM,22 C,22 C,100 %,SSW,11 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Light Rain Shower
3/20/2021 6:00 AM,22 C,22 C,100 %,SSW,11 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Light Rain Shower
3/20/2021 6:30 AM,23 C,22 C,94 %,SSW,13 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Showers in the Vicinity
3/20/2021 7:00 AM,23 C,22 C,94 %,S,11 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Light Drizzle
3/20/2021 7:23 AM,23 C,22 C,94 %,SSE,13 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Cloudy
3/20/2021 7:30 AM,23 C,22 C,94 %,SSE,15 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Light Drizzle
3/20/2021 8:00 AM,22 C,22 C,100 %,SE,9 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Drizzle
3/20/2021 8:30 AM,23 C,22 C,94 %,ESE,11 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Drizzle
3/20/2021 9:00 AM,23 C,21 C,88 %,ESE,15 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Drizzle
3/20/2021 9:17 AM,23 C,22 C,94 %,ESE,15 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Drizzle
3/20/2021 9:30 AM,23 C,21 C,88 %,E,17 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Drizzle
3/20/2021 10:00 AM,24 C,22 C,89 %,ENE,15 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Showers in the Vicinity
3/20/2021 10:30 AM,24 C,22 C,89 %,NE,13 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 11:00 AM,24 C,21 C,83 %,NE,11 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 11:30 AM,25 C,22 C,83 %,N,13 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 12:00 PM,26 C,22 C,78 %,NE,15 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 12:30 PM,25 C,21 C,78 %,N,7 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 1:00 PM,26 C,21 C,74 %,N,11 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 1:30 PM,26 C,21 C,74 %,N,9 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 2:00 PM,26 C,21 C,74 %,NNE,9 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 2:30 PM,26 C,21 C,74 %,N,7 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 3:00 PM,26 C,21 C,74 %,N,9 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 3:30 PM,26 C,21 C,74 %,ENE,7 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Showers in the Vicinity
3/20/2021 4:00 PM,26 C,22 C,78 %,ENE,11 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 4:30 PM,25 C,21 C,78 %,ENE,15 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Showers in the Vicinity
3/20/2021 5:00 PM,25 C,21 C,78 %,ENE,11 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 5:30 PM,25 C,22 C,83 %,ENE,9 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 6:00 PM,24 C,22 C,89 %,E,7 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Cloudy
3/20/2021 6:30 PM,24 C,21 C,83 %,SE,9 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 7:00 PM,23 C,21 C,88 %,SE,15 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 7:30 PM,23 C,20 C,83 %,SSE,9 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 8:00 PM,23 C,21 C,88 %,ENE,13 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 8:30 PM,23 C,21 C,88 %,SE,4 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain Shower
3/20/2021 8:44 PM,23 C,22 C,94 %,NE,6 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain Shower
3/20/2021 9:00 PM,23 C,22 C,94 %,ESE,2 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Showers in the Vicinity
3/20/2021 9:30 PM,23 C,22 C,94 %,E,6 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 10:00 PM,23 C,21 C,88 %,NE,6 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 10:30 PM,24 C,22 C,89 %,SE,6 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 11:00 PM,23 C,22 C,94 %,CALM,0 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 11:20 PM,23 C,22 C,94 %,S,6 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Mostly Cloudy
3/20/2021 11:30 PM,24 C,22 C,89 %,SSE,6 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Mostly Cloudy
3/21/2021 12:00 AM,24 C,22 C,89 %,ENE,9 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Mostly Cloudy
3/21/2021 12:30 AM,25 C,22 C,83 %,ENE,11 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Mostly Cloudy
3/21/2021 1:00 AM,25 C,21 C,78 %,E,9 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Mostly Cloudy
3/21/2021 1:30 AM,25 C,22 C,83 %,E,11 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Partly Cloudy
3/21/2021 2:00 AM,25 C,22 C,83 %,E,11 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Mostly Cloudy
3/21/2021 2:30 AM,25 C,22 C,83 %,E,15 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Partly Cloudy
3/21/2021 3:00 AM,25 C,22 C,83 %,E,13 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Partly Cloudy
3/21/2021 3:30 AM,25 C,22 C,83 %,E,11 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Fair
3/21/2021 4:00 AM,25 C,22 C,83 %,E,9 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Partly Cloudy
3/21/2021 4:30 AM,24 C,22 C,89 %,E,7 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Mostly Cloudy
3/21/2021 5:00 AM,24 C,22 C,89 %,E,7 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Partly Cloudy
3/21/2021 5:30 AM,24 C,22 C,89 %,ESE,7 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Partly Cloudy
3/21/2021 6:00 AM,24 C,21 C,83 %,ENE,20 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Showers in the Vicinity
3/21/2021 6:30 AM,23 C,20 C,83 %,E,13 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Light Rain Shower
3/21/2021 7:00 AM,23 C,21 C,88 %,E,9 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Showers in the Vicinity
3/21/2021 7:30 AM,24 C,21 C,83 %,E,7 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain Shower
3/21/2021 7:54 AM,24 C,23 C,94 %,NNE,13 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain Shower
3/21/2021 8:00 AM,24 C,23 C,94 %,NE,13 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Rain Shower
3/21/2021 8:16 AM,24 C,23 C,94 %,NE,11 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Rain Shower
3/21/2021 8:30 AM,24 C,23 C,94 %,ENE,7 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Heavy Rain Shower
3/21/2021 9:00 AM,25 C,24 C,94 %,ESE,9 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain Shower
3/21/2021 9:30 AM,26 C,23 C,83 %,ENE,11 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain Shower
3/21/2021 9:43 AM,25 C,23 C,89 %,ENE,13 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain Shower
3/21/2021 10:00 AM,26 C,23 C,83 %,ENE,15 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain Shower
3/21/2021 10:30 AM,27 C,23 C,79 %,E,19 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Showers in the Vicinity
3/21/2021 11:00 AM,27 C,23 C,79 %,E,20 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Mostly Cloudy
3/21/2021 11:30 AM,27 C,22 C,74 %,ENE,24 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Showers in the Vicinity
3/21/2021 12:00 PM,26 C,21 C,74 %,NE,28 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Showers in the Vicinity
3/21/2021 12:30 PM,27 C,21 C,70 %,ENE,19 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Mostly Cloudy
3/21/2021 1:00 PM,27 C,22 C,74 %,NE,24 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Showers in the Vicinity
3/21/2021 1:30 PM,26 C,22 C,78 %,ENE,22 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Light Rain Shower
3/21/2021 2:00 PM,26 C,22 C,78 %,ENE,20 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Light Rain Shower
3/21/2021 2:30 PM,25 C,22 C,83 %,E,24 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Light Rain Shower
3/21/2021 3:00 PM,25 C,22 C,83 %,ENE,24 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Showers in the Vicinity
3/21/2021 3:30 PM,25 C,22 C,83 %,E,20 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Thunder
3/21/2021 3:40 PM,25 C,22 C,83 %,E,20 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Light Rain with Thunder
3/21/2021 4:00 PM,24 C,23 C,94 %,ENE,24 km/h,0 km/h,"1,014.52 hPa",0.0 mm,T-Storm
3/21/2021 4:19 PM,23 C,22 C,94 %,ESE,17 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Heavy T-Storm
3/21/2021 4:30 PM,23 C,22 C,94 %,ESE,22 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Heavy T-Storm
3/21/2021 4:47 PM,23 C,22 C,94 %,E,17 km/h,0 km/h,"1,014.52 hPa",0.0 mm,T-Storm
3/21/2021 5:00 PM,23 C,22 C,94 %,E,15 km/h,0 km/h,"1,014.52 hPa",0.0 mm,T-Storm
3/21/2021 5:30 PM,23 C,22 C,94 %,E,22 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Heavy Rain Shower
3/21/2021 6:00 PM,23 C,22 C,94 %,ENE,24 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Heavy Rain Shower
3/21/2021 6:30 PM,23 C,22 C,94 %,NE,28 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Rain
3/21/2021 6:53 PM,23 C,22 C,94 %,E,17 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Light Rain
3/21/2021 7:00 PM,22 C,21 C,94 %,E,20 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Light Rain
3/21/2021 7:30 PM,23 C,22 C,94 %,E,19 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Rain
3/21/2021 7:43 PM,22 C,22 C,100 %,NE,24 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Rain
3/21/2021 8:00 PM,23 C,22 C,94 %,ENE,15 km/h,33 km/h,"1,016.52 hPa",0.0 mm,Rain
3/21/2021 8:30 PM,22 C,22 C,100 %,ENE,15 km/h,0 km/h,"1,017.52 hPa",0.0 mm,Heavy Rain
3/21/2021 9:00 PM,22 C,22 C,100 %,ENE,20 km/h,0 km/h,"1,017.52 hPa",0.0 mm,Rain
3/21/2021 9:23 PM,22 C,21 C,94 %,NE,17 km/h,0 km/h,"1,017.52 hPa",0.0 mm,Light Rain
3/21/2021 9:30 PM,22 C,21 C,94 %,NE,17 km/h,0 km/h,"1,017.52 hPa",0.0 mm,Light Rain
3/21/2021 10:00 PM,22 C,21 C,94 %,ENE,20 km/h,0 km/h,"1,017.52 hPa",0.0 mm,Light Rain
3/21/2021 10:30 PM,22 C,21 C,94 %,E,19 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain
3/21/2021 11:00 PM,23 C,22 C,94 %,E,19 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain
3/21/2021 11:30 PM,23 C,22 C,94 %,E,17 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain Shower
3/22/2021 12:00 AM,23 C,22 C,94 %,E,19 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain Shower
3/22/2021 12:30 AM,23 C,21 C,88 %,E,15 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain Shower
3/22/2021 1:00 AM,24 C,22 C,89 %,E,15 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Light Rain Shower
3/22/2021 1:30 AM,24 C,21 C,83 %,ENE,15 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Light Rain Shower
3/22/2021 2:00 AM,23 C,22 C,94 %,ENE,13 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Light Rain Shower
3/22/2021 2:20 AM,23 C,22 C,94 %,ENE,15 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Light Rain Shower
3/22/2021 2:30 AM,23 C,22 C,94 %,ENE,17 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Light Rain Shower
3/22/2021 3:00 AM,23 C,22 C,94 %,ENE,6 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Rain Shower
3/22/2021 3:30 AM,22 C,22 C,100 %,E,13 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Rain
3/22/2021 3:54 AM,22 C,21 C,94 %,E,17 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Rain
3/22/2021 4:00 AM,21 C,21 C,100 %,ENE,17 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Light Rain
3/22/2021 4:19 AM,22 C,21 C,94 %,ENE,17 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Light Rain
3/22/2021 4:30 AM,22 C,21 C,94 %,E,15 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Light Rain
3/22/2021 5:00 AM,22 C,21 C,94 %,E,11 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Rain
3/22/2021 5:30 AM,22 C,21 C,94 %,E,9 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Rain
3/22/2021 6:00 AM,22 C,21 C,94 %,ENE,15 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Rain
3/22/2021 6:24 AM,21 C,21 C,100 %,E,11 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain
3/22/2021 6:30 AM,22 C,21 C,94 %,E,9 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain
3/22/2021 6:39 AM,21 C,20 C,94 %,ESE,9 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain
3/22/2021 6:47 AM,21 C,20 C,94 %,ESE,9 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Rain
3/22/2021 7:00 AM,21 C,20 C,94 %,E,9 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Rain
3/22/2021 7:30 AM,21 C,21 C,100 %,ENE,15 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Rain
3/22/2021 7:42 AM,22 C,21 C,94 %,ENE,19 km/h,0 km/h,"1,017.52 hPa",0.0 mm,Light Rain
3/22/2021 8:00 AM,21 C,21 C,100 %,ENE,19 km/h,0 km/h,"1,017.52 hPa",0.0 mm,Light Rain
3/22/2021 8:19 AM,22 C,20 C,88 %,ENE,17 km/h,0 km/h,"1,017.52 hPa",0.0 mm,Light Rain
3/22/2021 8:30 AM,22 C,19 C,83 %,ENE,13 km/h,0 km/h,"1,017.52 hPa",0.0 mm,Light Drizzle
3/22/2021 9:00 AM,22 C,19 C,83 %,ENE,9 km/h,0 km/h,"1,017.52 hPa",0.0 mm,Mostly Cloudy
3/22/2021 9:30 AM,22 C,20 C,88 %,NE,20 km/h,0 km/h,"1,017.52 hPa",0.0 mm,Light Rain
3/22/2021 10:00 AM,22 C,20 C,88 %,NE,15 km/h,0 km/h,"1,017.52 hPa",0.0 mm,Light Rain
3/22/2021 10:30 AM,23 C,21 C,88 %,E,13 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain
3/22/2021 11:00 AM,23 C,20 C,83 %,ESE,6 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain
3/22/2021 11:30 AM,23 C,21 C,88 %,NE,9 km/h,0 km/h,"1,016.52 hPa",0.0 mm,Light Rain Shower
3/22/2021 12:00 PM,22 C,21 C,94 %,ENE,9 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Light Rain Shower
3/22/2021 12:30 PM,22 C,21 C,94 %,E,9 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Light Rain
3/22/2021 12:43 PM,22 C,21 C,94 %,ENE,9 km/h,0 km/h,"1,015.52 hPa",0.0 mm,Rain Shower
3/22/2021 1:00 PM,22 C,21 C,94 %,N,22 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Light Rain Shower
3/22/2021 1:30 PM,23 C,21 C,88 %,NE,15 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Light Rain
3/22/2021 1:51 PM,22 C,22 C,100 %,NE,17 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Light Rain Shower
3/22/2021 2:00 PM,22 C,21 C,94 %,NNE,15 km/h,0 km/h,"1,014.52 hPa",0.0 mm,Light Rain Shower
3/22/2021 2:30 PM,22 C,21 C,94 %,N,4 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Heavy Rain Shower
3/22/2021 2:54 PM,22 C,21 C,94 %,NW,28 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Heavy Rain Shower
3/22/2021 3:00 PM,22 C,21 C,94 %,NW,20 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Heavy Rain Shower
3/22/2021 3:13 PM,22 C,22 C,100 %,CALM,0 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Heavy Rain Shower
3/22/2021 3:30 PM,22 C,21 C,94 %,ENE,9 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Rain Shower
3/22/2021 3:35 PM,22 C,21 C,94 %,E,9 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Rain Shower
3/22/2021 3:49 PM,22 C,22 C,100 %,ESE,11 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Light Rain Shower
3/22/2021 3:57 PM,22 C,21 C,94 %,E,11 km/h,0 km/h,"1,013.52 hPa",0.0 mm,Light Rain Shower
